,precision,recall,f1-score,support
0,1.0,0.9333333333333333,0.9655172413793104,15.0
1,0.9931972789115646,0.9733333333333334,0.9831649831649831,150.0
2,0.9868421052631579,1.0,0.9933774834437086,150.0
3,1.0,0.9791666666666666,0.9894736842105263,96.0
4,0.9923664122137404,0.9848484848484849,0.9885931558935361,132.0
5,0.9689922480620154,0.9920634920634921,0.9803921568627451,126.0
6,1.0,1.0,1.0,30.0
7,0.9504950495049505,1.0,0.9746192893401016,96.0
8,0.9893617021276596,0.96875,0.9789473684210527,96.0
9,1.0,1.0,1.0,99.0
10,1.0,1.0,1.0,135.0
11,1.0,1.0,1.0,90.0
12,1.0,1.0,1.0,141.0
13,1.0,1.0,1.0,144.0
14,1.0,1.0,1.0,54.0
15,1.0,0.9523809523809523,0.975609756097561,42.0
16,1.0,1.0,1.0,30.0
17,1.0,1.0,1.0,75.0
18,1.0,0.9876543209876543,0.9937888198757764,81.0
19,1.0,1.0,1.0,15.0
20,1.0,0.9166666666666666,0.9565217391304348,24.0
21,1.0,1.0,1.0,24.0
22,1.0,1.0,1.0,27.0
23,1.0,1.0,1.0,36.0
24,1.0,1.0,1.0,18.0
25,0.9807692307692307,1.0,0.9902912621359223,102.0
26,1.0,1.0,1.0,42.0
27,1.0,1.0,1.0,18.0
28,1.0,1.0,1.0,36.0
29,1.0,1.0,1.0,18.0
30,0.9375,1.0,0.967741935483871,30.0
31,1.0,1.0,1.0,54.0
32,1.0,1.0,1.0,18.0
33,1.0,0.9791666666666666,0.9894736842105263,48.0
34,1.0,0.9666666666666667,0.9830508474576272,30.0
35,1.0,1.0,1.0,81.0
36,1.0,1.0,1.0,27.0
37,1.0,1.0,1.0,15.0
38,0.9928057553956835,1.0,0.9963898916967509,138.0
39,1.0,1.0,1.0,21.0
40,0.96,1.0,0.9795918367346939,24.0
41,1.0,1.0,1.0,18.0
42,1.0,1.0,1.0,18.0
accuracy,0.9924924924924925,0.9924924924924925,0.9924924924924925,0.9924924924924925
macro avg,0.9942402274941397,0.9914890833398586,0.992710351989282,2664.0
weighted avg,0.9926907662289911,0.9924924924924925,0.9924883535634728,2664.0
