,precision,recall,f1-score,support
Speed 20,1.0,1.0,1.0,60.0
Speed 30,0.995850622406639,1.0,0.997920997920998,720.0
Speed 50,0.9973333333333333,0.9973333333333333,0.9973333333333333,750.0
Speed 60,0.9932584269662922,0.9822222222222222,0.9877094972067039,450.0
Speed 70,0.9939668174962293,0.9984848484848485,0.9962207105064248,660.0
Speed 80,0.9751166407465007,0.9952380952380953,0.9850746268656716,630.0
End Spd 80,1.0,0.9533333333333334,0.9761092150170648,150.0
Speed 100,1.0,0.9977777777777778,0.9988876529477196,450.0
Speed 120,0.9933184855233853,0.9911111111111112,0.9922135706340378,450.0
No passing,0.997920997920998,1.0,0.9989594172736732,480.0
No pass >3.5t,1.0,0.9984848484848485,0.9992418498862775,660.0
Right-of-way,0.9190371991247265,1.0,0.9578107183580388,420.0
Priority road,1.0,0.9884057971014493,0.9941690962099126,690.0
Yield,0.997229916897507,1.0,0.9986130374479889,720.0
Stop,1.0,1.0,1.0,270.0
No vehicles,0.9808612440191388,0.9761904761904762,0.9785202863961814,210.0
Veh >3.5t,1.0,1.0,1.0,150.0
No entry,1.0,1.0,1.0,360.0
Gen caution,1.0,0.982051282051282,0.9909443725743855,390.0
Curve left,0.967741935483871,1.0,0.9836065573770492,60.0
Curve right,0.989010989010989,1.0,0.994475138121547,90.0
Double curve,0.989010989010989,1.0,0.994475138121547,90.0
Bumpy road,1.0,0.9916666666666667,0.99581589958159,120.0
Slippery road,1.0,0.9133333333333333,0.9547038327526133,150.0
Road narrows,1.0,0.9777777777777777,0.9887640449438202,90.0
Road work,0.9979035639412998,0.9916666666666667,0.9947753396029259,480.0
Traffic sigs,0.93717277486911,0.9944444444444445,0.9649595687331537,180.0
Pedestrians,1.0,0.5333333333333333,0.6956521739130435,60.0
Children,0.9933774834437086,1.0,0.9966777408637874,150.0
Bicycles,1.0,1.0,1.0,90.0
Ice/snow,0.9459459459459459,0.9333333333333333,0.9395973154362416,150.0
Wild animals,0.996309963099631,1.0,0.9981515711645101,270.0
End limits,0.9523809523809523,1.0,0.975609756097561,60.0
Turn right,1.0,1.0,1.0,210.0
Turn left,1.0,1.0,1.0,120.0
Ahead only,1.0,0.9974358974358974,0.9987163029525032,390.0
Straight/right,0.9836065573770492,1.0,0.9917355371900827,120.0
Straight/left,0.9836065573770492,1.0,0.9917355371900827,60.0
Keep right,1.0,1.0,1.0,690.0
Keep left,0.9887640449438202,0.9777777777777777,0.9832402234636871,90.0
Roundabout,1.0,0.9888888888888889,0.994413407821229,90.0
End no pass,0.9523809523809523,1.0,0.975609756097561,60.0
End no pass >3.5t,1.0,0.9777777777777777,0.9887640449438202,90.0
accuracy,0.991132224861441,0.991132224861441,0.991132224861441,0.991132224861441
macro avg,0.9888629393883748,0.9799550935526667,0.9825862155569015,12630.0
weighted avg,0.991472281349072,0.991132224861441,0.9908429264304885,12630.0
