true,pred,true_name,pred_name,count,pct_of_true
27,11,Pedestrians,Right-of-way,28,0.4667
23,30,Slippery road,Ice/snow,8,0.0533
3,5,Speed 60,Speed 80,7,0.0156
30,11,Ice/snow,Right-of-way,6,0.04
18,26,Gen caution,Traffic sigs,5,0.0128
12,15,Priority road,No vehicles,4,0.0058
8,5,Speed 120,Speed 80,4,0.0089
30,26,Ice/snow,Traffic sigs,4,0.0267
6,5,End Spd 80,Speed 80,4,0.0267
15,4,No vehicles,Speed 70,2,0.0095
5,3,Speed 80,Speed 60,2,0.0032
23,19,Slippery road,Curve left,2,0.0133
12,13,Priority road,Yield,2,0.0029
25,11,Road work,Right-of-way,2,0.0042
23,26,Slippery road,Traffic sigs,2,0.0133
42,41,End no pass >3.5t,End no pass,2,0.0222
7,8,Speed 100,Speed 120,1,0.0022
5,2,Speed 80,Speed 50,1,0.0016
2,3,Speed 50,Speed 60,1,0.0013
3,2,Speed 60,Speed 50,1,0.0022
2,1,Speed 50,Speed 30,1,0.0013
6,41,End Spd 80,End no pass,1,0.0067
6,32,End Spd 80,End limits,1,0.0067
6,4,End Spd 80,Speed 70,1,0.0067
4,1,Speed 70,Speed 30,1,0.0015
15,8,No vehicles,Speed 120,1,0.0048
12,4,Priority road,Speed 70,1,0.0014
10,9,No pass >3.5t,No passing,1,0.0015
23,20,Slippery road,Curve right,1,0.0067
22,25,Bumpy road,Road work,1,0.0083
18,8,Gen caution,Speed 120,1,0.0026
18,21,Gen caution,Double curve,1,0.0026
15,32,No vehicles,End limits,1,0.0048
15,26,No vehicles,Traffic sigs,1,0.0048
12,32,Priority road,End limits,1,0.0014
24,11,Road narrows,Right-of-way,1,0.0111
26,1,Traffic sigs,Speed 30,1,0.0056
25,31,Road work,Wild animals,1,0.0021
25,5,Road work,Speed 80,1,0.0021
24,28,Road narrows,Children,1,0.0111
35,39,Ahead only,Keep left,1,0.0026
39,36,Keep left,Straight/right,1,0.0111
39,37,Keep left,Straight/left,1,0.0111
40,36,Roundabout,Straight/right,1,0.0111
