class_id,class_name,n_test,n_correct,accuracy
27,Pedestrians,60,32,0.5333
23,Slippery road,150,137,0.9133
30,Ice/snow,150,140,0.9333
6,End Spd 80,150,143,0.9533
15,No vehicles,210,205,0.9762
24,Road narrows,90,88,0.9778
42,End no pass >3.5t,90,88,0.9778
39,Keep left,90,88,0.9778
18,Gen caution,390,383,0.9821
3,Speed 60,450,442,0.9822
12,Priority road,690,682,0.9884
40,Roundabout,90,89,0.9889
8,Speed 120,450,446,0.9911
25,Road work,480,476,0.9917
22,Bumpy road,120,119,0.9917
26,Traffic sigs,180,179,0.9944
5,Speed 80,630,627,0.9952
2,Speed 50,750,748,0.9973
35,Ahead only,390,389,0.9974
7,Speed 100,450,449,0.9978
10,No pass >3.5t,660,659,0.9985
4,Speed 70,660,659,0.9985
14,Stop,270,270,1.0
13,Yield,720,720,1.0
20,Curve right,90,90,1.0
21,Double curve,90,90,1.0
17,No entry,360,360,1.0
19,Curve left,60,60,1.0
0,Speed 20,60,60,1.0
1,Speed 30,720,720,1.0
9,No passing,480,480,1.0
11,Right-of-way,420,420,1.0
31,Wild animals,270,270,1.0
29,Bicycles,90,90,1.0
28,Children,150,150,1.0
16,Veh >3.5t,150,150,1.0
34,Turn left,120,120,1.0
36,Straight/right,120,120,1.0
33,Turn right,210,210,1.0
32,End limits,60,60,1.0
38,Keep right,690,690,1.0
37,Straight/left,60,60,1.0
41,End no pass,60,60,1.0
